status,waterfall_location
1,./data/observations/waterfalls/22712eddcf223d0b13f820cf2fd9c721ed1f65a337f8f682096f9ee6b51e8c81
0,./data/observations/waterfalls/b8eda53791f2b610dc3aa131696f21f70616a051af0529c216116a8ec9ad3c4b
0,./data/observations/waterfalls/4af83562545ed007c3217a65fc07dcb6c6a7db655008a9bf2652bf5217594f92
1,./data/observations/waterfalls/ef7d2b79e6943db9e3e0e63f990869afc7b1295a3193ff29e5ab30fabffacadf
1,./data/observations/waterfalls/6d8c76ff142c0248782bf4bc6f1dea0897f5056412bdbd64f5c2cdd287352c46
1,./data/observations/waterfalls/c684bf2e4c73582fd1aec087284d599018e26b7739c0289240c6290332047f92
0,./data/observations/waterfalls/d0c27678683234e2bae233888537460e70bd4fccd9a2ea53471971d82852479e
1,./data/observations/waterfalls/eece78695ea19f4db1e6907f097063c18c78da6eb87432159e51c2305d6bd844
0,./data/observations/waterfalls/7df2a8cada872ee94add225ec47c95602a2a2605749b74d06a14ac121a05cbe6
1,./data/observations/waterfalls/40de77986a0520c4266757f63978301bfa76314b986c24679ae7f5aaa290b485
1,./data/observations/waterfalls/7542acb5724e6ab59f8c1a847ccf479dbdc6b51bde3cc20f3251756c45bf2272
0,./data/observations/waterfalls/5bb2fe355bfc098adb15a7380f81c988677f4e8b4613d59efc6a7627de8d3621
0,./data/observations/waterfalls/d42d90718cad19471b4bacdf7e7d1ea4858b487a548a9dcaea8fe8b3aa599125
0,./data/observations/waterfalls/25a0c65c9f22c4f676d248d7d63dd4ea87b2134b367e44735c655d16712c2d5e
0,./data/observations/waterfalls/b9e4d31975b696a3dafc8506500183692cd1e69255b1acabcd1d00aac687b8e7
0,./data/observations/waterfalls/e6665fddb301560258ac716bbc4591513f29bfbaab2acddb7ada8d219aa526e4
1,./data/observations/waterfalls/e629816570090acb25151ea17e5088c46a7bf6d8f589e252d87c859989e8a9d8
0,./data/observations/waterfalls/5f1d8679a984addd1accaee26c1d42de6feb3eb77af6eb65b7aea451af8ee6c7
1,./data/observations/waterfalls/bd5c6bf80dfe24bd3748a304576c6e2a71f26bd3418cec46551e7425d5524bd6
1,./data/observations/waterfalls/cfa21158c885a4b14d68c19f2c48146c9ad212a07b4529edaf93b4fdeb9c994d
0,./data/observations/waterfalls/1c034347d16c5baf75bff927d8e5ec015a6d17323e16477ffc472fc9b7ea5fa8
0,./data/observations/waterfalls/21ce39348074dbc57b335bcc1c1cfd079cca1c1e333570ae2ffab30155718eb4
0,./data/observations/waterfalls/2e90137dba835bc6fffb97f779e7342702f6847632f6d18e46b9ceea8c9d7ee7
0,./data/observations/waterfalls/955abf48fdb64b24a699501e3c8834036fca2542b4163d90e3631541ec1c3c13
1,./data/observations/waterfalls/e5c6db9881e4ab2832ab9d96a7613bc7bff5b7e3cf65e909a248fe856b39b24d
1,./data/observations/waterfalls/09c0f85e2ba65651e5a32ee6c320c891c83809f52376e316a464c197596bb9f4
1,./data/observations/waterfalls/24007341d03d11c7a208aa9feafa1a87b400c2bfc91b9cd8a0d67997b11fa4fc
0,./data/observations/waterfalls/aea01dc468fd34036d0d3fc90b8b3f03a2313f9cd6dfcbb1d85e3faf38b5c7c7
1,./data/observations/waterfalls/74ebc8835a5cad7464e8d80b10a1bac7ae26be1e4b07119514e7d994fdc0c501
0,./data/observations/waterfalls/550958dba58fb5b14de1f80eeaa1475d0a9d9558cbdb9f0078049761895bf635
1,./data/observations/waterfalls/6b5ece71b93e0d6d63c76d3047b2b2f7bad18f77c33a87dcf4326a920adae29f
1,./data/observations/waterfalls/fd717841e95581d004227ac09332912ef145fb299e59114424de323db2b32a59
1,./data/observations/waterfalls/894eaabd8e1751a844de0e56c0fdc3453b2ebad586291141a4dedda037589497
0,./data/observations/waterfalls/75e527e14a375ab838c754bd60e8a2e1a87fdca89db12c10cf70545ad3b76f35
1,./data/observations/waterfalls/125711113142fb759c044b067e96f6d673abeab42b4a75409bcf1aa1691f3937
1,./data/observations/waterfalls/0ad454e936cf0a2cbe29903d3313c7c3a0e0cf503e79d1938d210e9a9a6a09fb
0,./data/observations/waterfalls/c6793833b36a0edf70a7e59499a3801e3eb17480b1c9e0986a8f7a84cb708942
1,./data/observations/waterfalls/e33f2a66a446ba934329d7eb206eba82ace8aed14ade96328f586db09ff0714f
0,./data/observations/waterfalls/e431de2b9e03b765a77da98d9988253edf1d864fe0559871f707b1a6a69308bb
1,./data/observations/waterfalls/56c600636accea64e1958c4d85051716c4dee756d4dc2c16b62513a9e4a9416e
1,./data/observations/waterfalls/073f747e7f4e32cfc0ace8a15bb954b1b719aa72cc16dd601ea8f60ab809db9a
0,./data/observations/waterfalls/592540dc628e5ae57ce9fffa9e28577cc82dd20efb34df4b162b28459870371e
0,./data/observations/waterfalls/07bcdacf9aa7b06c32045685a98e5c2ea8d3d746e95992a62f36aa42e8b3447f
0,./data/observations/waterfalls/3c59ac7c1a170437c02df66815b9e2c75859a201ec16e2b331ab96905efe8891
1,./data/observations/waterfalls/a4c022ad6cd784be802e43f6e056aac85873be503d5e5dcb569b2b20aecfb169
0,./data/observations/waterfalls/13edd6b937294b5fb906e95424fdfe3c755999f30d651212996a2d34ca572d4c
1,./data/observations/waterfalls/550095e0559a0d73c943a27a0c3a0c8abbf892dc7841ab77ac9ac21eb6ef0d95
1,./data/observations/waterfalls/75a34a88de0579b0a2b3175e98cdf0fe2502da0901f4d92806c333073acc06d9
0,./data/observations/waterfalls/879c3190f66939273d5ed922eb151b60ba9b47a3e0d43f8c2be32af4cfd7af80
1,./data/observations/waterfalls/d83d91c5664907d01f6bccca5956af4409b0df13bcec1196a103e4a06d0a9199
1,./data/observations/waterfalls/bdcaedac7a6487f3ad79dc50df828354e180e229c39d0efc381386de6ffc8437
0,./data/observations/waterfalls/d43eb2a47d7fdd3da319d638dced6200d1299f88025c51977c7e1efcec5724a5
0,./data/observations/waterfalls/2c0ed45522e728fea9b42bdac0a247d0e1b8be8978e470aaf35c7566858b13fe
1,./data/observations/waterfalls/0ff121da7b84da6b9f8bf2da882f735e0d98d83b9c6ca394bf6af0a37f70ef71
0,./data/observations/waterfalls/99f503070179c4a351d6b83df876ec34e274f8ede031cd4aa3d7301e35e685ad
1,./data/observations/waterfalls/240a59b31f11c7f75d3bb206a98a13a20959863fa7a9aea754a7d2e8d33e8e56
1,./data/observations/waterfalls/ccd23178206d80744ae69f068f1bb6e0d1f0504778f78ea121355527a8ebc493
0,./data/observations/waterfalls/3bcb891c879d86f64dd7f8c6699bc60cffcdb459cfab8c38f751e5efd6044b19
1,./data/observations/waterfalls/954c4be3031beff9a36c3a2ff8a9e21a1c8bbdf842b8e8bd09763bc8906d9e32
0,./data/observations/waterfalls/e2955fafd30a8c8291f9c270c990c5949c974c365e8f253d66fe3be15742021a
0,./data/observations/waterfalls/d8ba19becf3636c82b29ab503a6e394841f992c242d7ddb9bbb9e639168a6db6
1,./data/observations/waterfalls/f4c863763091482c0caf9a54670f4278a5e9eb905bc833b63825d2c68a0d89e7
0,./data/observations/waterfalls/bb591383b1dece028575b21fef7fefd2167dd2673553a338c9f17edbd40369a0
0,./data/observations/waterfalls/f473c43af4e93129710c82b73c02f50cc9ca18a838ba20c7a2273c478f1bce00
0,./data/observations/waterfalls/d526585c5e1abdc3462f38168decf90f4586a1b793639a3cd1ee0fd6f015af7f
0,./data/observations/waterfalls/4283848956d74da4f9d2a555bf9254ee8085e22d30ae8b1015c3893f6f2dea8a
0,./data/observations/waterfalls/524f9d84b0a1f3a81278237bd6fced1b9f07736a1c3be3647a07bf85bbedd86c
1,./data/observations/waterfalls/421845541c9e4fd8a047d266e390ff13b2c470f2b381fa5cdd7ac97e3020f02d
0,./data/observations/waterfalls/b71f55960a8f5bf32e559ca48794eac112e6060812849dbbadc6c169645af760
0,./data/observations/waterfalls/b1e72837d39ed910a4d385fcf87ac67dc50748d5f47d1b7663a3ede5cf172850
1,./data/observations/waterfalls/5a64c8608ea637149521576cc15406c237e6fb3b98b670047f7a174e7e95ec75
0,./data/observations/waterfalls/e0af020854a1b5f19a3f6145e86ce8b12a4e47b56ad4a9368cc9edd7fed3e504
